거래일자,지역,연료원, 발전량(MWh) 
2018-01-23,경기도,유류,20584
2018-01-23,경상남도,석탄,162375
2018-01-23,경상남도,유류,251
2018-01-23,경상북도,LNG,8851
2018-01-23,경상북도,석탄,2637
2018-01-23,광주시,LNG,1630
2018-01-23,대구시,LNG,9116
2018-01-23,대구시,석탄,34
2018-01-23,대구시,유류,545
2018-01-23,대전시,LNG,72
2018-01-23,대전시,유류,908
2018-01-23,부산시,LNG,31494
2018-01-23,부산시,석탄,167
2018-01-23,서울시,LNG,880
2018-01-23,세종시,LNG,12169
2018-01-23,울산시,LNG,42805
2018-01-23,울산시,유류,22006
2018-01-23,인천시,LNG,81307
2018-01-23,인천시,석탄,113376
2018-01-23,전라남도,LNG,43842
2018-01-23,전라남도,석탄,30637
2018-01-23,전라북도,LNG,11365
2018-01-23,전라북도,석탄,18855
2018-01-23,전라북도,유류,346
2018-01-23,제주도,유류,7752
2018-01-23,충청남도,LNG,43661
2018-01-23,충청남도,석탄,348558
2018-01-23,충청남도,유류,0
2018-01-23,충청북도,유류,1153
2018-01-24,강원도,LNG,18735
2018-01-24,강원도,석탄,74937
2018-01-24,경기도,LNG,262396
2018-01-24,경기도,석탄,1248
2018-01-24,경기도,유류,20559
2018-01-24,경상남도,석탄,163080
2018-01-24,경상남도,유류,204
2018-01-24,경상북도,LNG,9570
2018-01-24,경상북도,석탄,2414
2018-01-24,광주시,LNG,2833
2018-01-24,대구시,LNG,9245
2018-01-24,대구시,석탄,22
2018-01-24,대구시,유류,528
2018-01-24,대전시,LNG,1021
2018-01-24,대전시,유류,1044
2018-01-24,부산시,LNG,46691
2018-01-24,부산시,석탄,172
2018-01-24,서울시,LNG,753
2018-01-24,세종시,LNG,12041
2018-01-24,울산시,LNG,48902
2018-01-24,울산시,유류,24210
